 HORNE & HOROWITZ
 MIKOVIC
 HUITU & NEMESCHANSKY
 WITTEN
 INTRILIGATOR
 OOGURI & SASAKURA
 LECLAIR & SMIRNOV
 GRIFFIN
 SEN
 LERCHE & SMIT & WARNER
 CRNKOVIC & DOUGLAS & MOORE
 DAVID & NEUBERGER
 GOMEZ & SIERRA
 LUKIERSKI & NOVICKI & RUEGG
 BERKOVITS & HATSUDA & SIEGEL
 COLOMO & KOUBEK & MUSSARDO
 NOJIRI
 SAKAI & TANII
 BIENKOWSKA
 FRANCESCO & KUTASOV
 CARLIP
 YANG
 DECKMYN & SCHRANS
 CASELLE & FIORE & GLIOZZI & PROVERO & VINTI
 MINIC & YANG
 SCHWARZ
 MAZZITELLI & MOHAMMEDI
 BAUER & SOCHEN
 AMBJORN & JOHNSON & MORRIS
 FELDER & LECLAIR
 FENDLEY
 AOKI & D'HOKER
 AOKI & D'HOKER
 KHASTGIR & KUMAR
 ELLIS & MAVROMATOS & NANOPOULOS
 RAMA
 KLEBANOV & POLYAKOV
 ZAUGG
 HASSAN & SEN
 BANKS & DINE & SEIBERG
 FRANCESCO & MATHIEU
 BANKS & DINE
 HOLLOWOOD & MIRAMONTES & PASQUINUCCI & NAPPI
 ALVAREZ & SINGER & WINDEY
 TSEYTLIN & VAFA
 GARCIA-BELLIDO & QUIROS
 BURGESS & MARINI
 BONORA & MARTELLINI & XIONG
 EVANS & GIANNAKIS
 CORRIGAN & DOREY
 RAVANINI
 HALPERN & KIRITSIS & OBERS
 CASELLE & GLIOZZI
 MATHIEU & SENECHAL & WALTON
 MEISSNER & VENEZIANO
 MAASSARANI
 ELLIS & FRISHMAN & KARLINER
 POPE & ROMANS & SEZGIN & STELLE
 BEN-MENAHEM
 VERLINDE & VERLINDE
 CAPPELLI
 CAPPELLI & CIAFALONI & VALTANCOLI
 GOVAERTS & MOROZOV
 BURROUGHS & DE GROOT & HOLLOWOOD & MIRAMONTES
 BURROUGHS
 LEWELLEN
 MATSUO
 GERVAIS & MATSUO
 LI
 FERREIRA & GOMES & SCHWIMMER & ZIMERMAN
 BERSHADSKY & KUTASOV
 LINDE
 GHOSHAL & SEN
 HWANG
 KOBAYASHI & UEMATSU
 KIMURA
 CALLAN & FREED
