1993, D47,  PhysRev, Ben-Menahem,  Self-Gravitating Strings In 2+1 Dimensions
1992, B371,  NuclPhys, Verlinde & Verlinde,  Scattering at Planckian Energies
1992, A25,  Nucl Phys Proc Suppl, Cappelli,  Classical Dynamics of Point Particles in 2+1 Gravity
1991, B273,  PhysLett, Cappelli & Ciafaloni & Valtancoli,  Classical Scattering in 2+1 Gravity with N Spinning Sources
1992, B373,  Nucl Phys, Govaerts & Morozov,  Universal Field Equations with Covariant Solutions DB Fairlie
1992, B277,  Phys Lett, Burroughs & de Groot & Hollowood & Miramontes,  Generalized W-algebras and Integrable Hierarchies
1992, B379,  NuclPhys, Burroughs,  Coadjoint Orbits of the Generalised Sl(2  Sl(3  Kdv Hierarchies
1993, B392,  Nucl Phys, Lewellen,  Effective String Amplitudes for Hadronic Physics
1992, B277,  Phys Lett, Matsuo,  Classical W-symmetry and Grassmannian Manifold
1992, B274,  Phys Lett, Gervais & Matsuo,  W-Geometries
1992, B382,  Nucl Phys, Li,  Correlators of Special States in c=1 Liouville Theory
1992, B274,  Phys Lett, Ferreira & Gomes & Schwimmer & Zimerman,  Comments on Two-Loop Kac-Moody Algebras
1992, B274,  Phys Lett, Bershadsky & Kutasov,  Open String Theory in 1+1 Dimensions
1992, B372,  NuclPhys, Linde,  Hard Art of the Universe Creation
1992, B380,  Nucl Phys, Ghoshal & Sen,  Gauge and General Coordinate Invariance in Non-Polynomial Closed String  Field Theory
1992, B276,  Phys Lett, Hwang,  Cosets as gauge slices in SU(1,1  strings
1992, B275,  Phys Lett, Kobayashi & Uematsu,  S-matrix of N=2 Supersymmetric Sine-Gordon Theory
1992, A7,  Int J Mod Phys, Kimura,  Hamiltonian Reduction of Super Osp(1,2 } and Sl(2,1  Kac-Moody Algebras
1992, B374,  NuclPhys, Callan & Freed,  Phase Diagram of the Dissipative Hofstadter Model
1993, B400,  Nucl Phys, Klassen & Melzer,  Rg Flows in the $D$-Series of Minimal Cfts
1992, B372,  Nucl Phys, Mezincescu & Nepomechie,  Analytical Bethe Ansatz for Quantum-Algebra-Invariant Spin Chains
1992, A25,  Nucl Phys Proc Suppl, Miramontes & Guillen,  Instantons in the Quantum Framework of 2D Gravity
1991, B367,  NuclPhys, Argyres & Grochocinski & Tye,  Structure Constants of the Fractional Supersymmetry Chiral Algebras
1992, B373,  NuclPhys, Rocek & Verlinde,  Duality, Quotients, and Currents
1992, A7,  ModPhysLett, Bars & Sfetsos,  Generalized Duality and Singular Strings in Higher Dimensions
1992, B380,  NuclPhys, Nemeschansky & Warner,  Topological Matter, Integrable Models and Fusion Rings
1992, B374,  NuclPhys, Dorey,  Root Systems and Purely Elastic S-Matrices II
1992, A7,  Int J Mod Phys, Vazquez-Bello,  On the Covariant Quantization of the 2nd-Ilk Superparticle
1992, A7,  Int J Mod Phys, Kneipp,  Generalised Abelian Chern-Simons Theories and their Connection to  Conformal Field Theories
1993, B393,  NuclPhys, Crescimanno,  Fusion Potentials for G_k and Handle Squashing
1992, B277,  Phys Lett, Polychronakos,  New Integrable Systems from Unitary Matrix Models
1992, B278,  Phys Lett, Horava,  Some Exact Solutions of String Theory in Four and Five Dimensions
1992, A7,  Mod Phys Lett, Tanii & Yamaguchi,  Two-Dimensional Quantum Gravity on a Disk
1993, B395,  NuclPhys, Alvarez & Labastida,  Analysis of Observables in Chern-Simons Perturbation Theory
1992, B274,  PhysLett, Pesando & Tollsten,  Heterotic instantons and solitons in anomaly-free supergravity
1992, B379,  Nucl Phys, Ishibashi,  Extra Observables in Gauged WZW Models
1992, A7,  Int J Mod Phys, Balachandran & Bimonte & Gupta & Stern,  Conformal Edge Currents in Chern-Simons Theories
1992, B274,  Phys Lett, de Boer & Goeree,  The Covariant W_3 Action
1992, B275,  PhysLett, Hinrichsen & Rittenberg,  A Two Parameter Deformation of the SU(1/1  Superalgebra and the XY  Quantum Chain in a Magnetic Field
1992, B376,  Nucl Phys, Parkes,  On N=2 strings and classical scattering solutions of self-dual  Yang-Mills in (2,2  spacetime
1992, A7,  Mod Phys Lett, Eguchi,  Topological Field Theories and Space-Time Singularity
1992, B379,  Nucl Phys, Lu & Pope & Wang & Xu,  Anomaly Freedom and Realisations for Super-$W_3$ Strings
1992, B279,  Phys Lett, Yang,  A Remark on Conformal Anomaly and Extrinsic Geometry of Random Surfaces
1992, B382,  Nucl Phys, Saleur,  Polymers and percolation in two dimensions and twisted N=2 supersymmetry
1992, B382,  Nucl Phys, Saleur,  Geometrical Lattice models for N=2 supersymmetric theories in two  dimensions
1992, B275,  Phys Lett, Kallosh,  Geometry of Scattering at Planckian Energies
1992, B278,  PhysLett, Jonsson,  Intrinsic and extrinsic geometry of random surfaces
1992, B378,  Nucl Phys, Minahan,  Flows and Solitary Waves in Unitary Matrix Models with Logarithmic  Potentials
1992, B372,  NuclPhys, Fendley & Intriligator,  Scattering and Thermodynamics of Fractionally-Charged Supersymmetric  Solitons
1992, A7,  Mod Phys Lett, Haagensen,  Differential Renormalization of the Wess-Zumino Model
1992, A7,  Int J Mod Phys, Aldazabal & Allekotte & Font & Nunez,  N=2 Coset Compactifications with Non-Diagonal Invariants
1992, A7,  Mod Phys Lett, Bourdeau & Mlawer & Riggs & Schnitzer,  Topological Landau-Ginzburg Matter from Sp(N _{K} Fusion Rings
1992, A7,  Mod Phys Lett, Das & Dhar & Mandal & Wadia,  Bosonization of Nonrelativistic Fermions and W-infinity Algebra
1992, A25,  JPhys, Cardy,  Critical Percolation in Finite Geometries
1992, B6,  Int J Mod Phys, Caselle & Ponzano & Ravanini,  Towards a Classification of Fusion Rule Algebras in Rational Conformal  Field Theories
1992, A7,  Mod Phys Lett, Avan & Jevicki,  String field actions from W-infinity
1992, B278,  Phys Lett, Evans & Giannakis,  Isolated States and the Classical Phase Spase of 2-d String Theory
1992, L21,  Class Quant Grav, D'adda,  Comments on Supersymmetric Vector and Matrix Models
1992, B276,  PhysLett, Ellis & Mavromatos & Nanopoulos,  On the Evaporation of Black Holes in String Theory
1992, B276,  PhysLett, Spence,  W-Algebra Symmetries of Generalised Drinfel'd-Sokolov Hierarchies
1992, A7,  Int J Mod Phys, Yost,  Supermatrix Models
1992, B377,  NuclPhys, Moore & Plesser & Ramgoolam,  Exact S-Matrix for 2D String Theory
1992, B275,  Phys Lett, Kharchev & Marshakov & Mironov & Morozov & Zabrodin,  Unification of All String Models with $c<1$
1992, B375,  Nucl Phys, McGuigan & Nappi & Yost,  Charged Black Holes in Two-Dimensional String Theory
1992, B277,  Phys Lett, Bars & Sfetsos,  A Superstring Theory in Four Curved Space-Time Dimensions
1992, A7,  IntJModPhys, Tjin,  An introduction to quantized Lie groups and algebras
1992, B281,  Phys Lett, Mohammedi,  Modified Black Holes in Two Dimensional Gravity
1992, A7,  Int J Mod Phys, Depireux & Mathieu,  On the classical $W_N^{(l }$ algebras
